team
Grasshopper Club Zürich
Freilos
UHC La Brévine II
Unihockey Riviera II
Tigers Langnau III
Legion Wasserschloss V
UC Yens-Morges
STV Kappel
TV Heimiswil
UHC Benken-Mollis
UHC Wygorazzi Wyssachen
UH Lejon Zäziwil II
UHC La Tour-de-Trême
Unihockey Emme
Innebandy Zürich 11
UHT Uetigen II
UHC Zimmerberg Hawks
UHC Jonschwil Vipers II
TV Oberwil BL
Floorball Chur United
UHC Genève
Züri Süd
Unihockey Regio Entlebuch
Moiry-Cuarnens Yellow Star II
UHC Zimmerberg Hawks II
UHC Gland
KTV Laupersdorf
UHC Phoenix Loc
Floorball Chur United II
UHC Reconvilier
Flims Trin Unihockey
Unihockey Ruswil III
Unihockey Langenthal Aarwangen III
FBC Känerkinden 03 II
Lions Konolfingen IV
Unihockey Wild Wings
UHC Phantoms Rafzerfeld II
UHC Eagles Savièse
SK Heimberg Dragons
unihockeyaltnau
TSV Bubendorf
UHC Wygorazzi Wyssachen II
TBA
UHT TV Wohlen BE
UHC D.B. Disentis
Baden-Birmenstorf III
SV Rehetobel Unihockey
UHC Opfikon-Glattbrugg
UHC Scorpions Oftringen
UC Yverdon II
Tigers Langnau I
SC Laupen II
SC Laupen III
Keine Angabe
Red Lions Frauenfeld II
